"Image Name","PID","Session Name","Session#","Mem Usage"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","18,956 K"
"Registry","120","Services","0","113,380 K"
"smss.exe","428","Services","0","996 K"
"csrss.exe","632","Services","0","4,800 K"
"wininit.exe","732","Services","0","5,136 K"
"csrss.exe","744","Console","1","5,676 K"
"services.exe","804","Services","0","8,636 K"
"lsass.exe","824","Services","0","16,324 K"
"svchost.exe","940","Services","0","3,196 K"
"WUDFHost.exe","964","Services","0","14,024 K"
"svchost.exe","972","Services","0","29,392 K"
"fontdrvhost.exe","1008","Services","0","3,068 K"
"svchost.exe","552","Services","0","15,488 K"
"svchost.exe","960","Services","0","9,436 K"
"winlogon.exe","1104","Console","1","10,176 K"
"fontdrvhost.exe","1160","Console","1","34,044 K"
"dwm.exe","1236","Console","1","87,264 K"
"svchost.exe","1292","Services","0","7,696 K"
"svchost.exe","1328","Services","0","10,272 K"
"svchost.exe","1344","Services","0","10,148 K"
"svchost.exe","1480","Services","0","14,396 K"
"svchost.exe","1488","Services","0","9,644 K"
"svchost.exe","1496","Services","0","9,820 K"
"svchost.exe","1508","Services","0","11,232 K"
"svchost.exe","1664","Services","0","6,872 K"
"svchost.exe","1796","Services","0","14,932 K"
"svchost.exe","1860","Services","0","6,792 K"
"svchost.exe","1928","Services","0","9,436 K"
"svchost.exe","1952","Services","0","6,176 K"
"svchost.exe","2028","Services","0","6,420 K"
"NVDisplay.Container.exe","2040","Services","0","8,476 K"
"dasHost.exe","1924","Services","0","13,528 K"
"svchost.exe","2068","Services","0","9,900 K"
"svchost.exe","2096","Services","0","8,300 K"
"svchost.exe","2156","Services","0","117,888 K"
"svchost.exe","2164","Services","0","4,800 K"
"svchost.exe","2204","Services","0","6,232 K"
"wscript.exe","2224","Services","0","1,268 K"
"svchost.exe","2272","Services","0","13,864 K"
"NVDisplay.Container.exe","2392","Console","1","21,256 K"
"svchost.exe","2420","Services","0","6,924 K"
"svchost.exe","2436","Services","0","8,556 K"
"Memory Compression","2448","Services","0","576,224 K"
"svchost.exe","2492","Services","0","7,452 K"
"svchost.exe","2520","Services","0","11,652 K"
"igfxCUIService.exe","2568","Services","0","6,600 K"
"svchost.exe","2656","Services","0","6,872 K"
"svchost.exe","2664","Services","0","10,364 K"
"svchost.exe","2672","Services","0","6,956 K"
"svchost.exe","2692","Services","0","7,880 K"
"svchost.exe","2836","Services","0","8,992 K"
"svchost.exe","3036","Services","0","5,188 K"
"svchost.exe","3160","Services","0","8,256 K"
"svchost.exe","3184","Services","0","12,724 K"
"RtkAudioService64.exe","3272","Services","0","5,848 K"
"svchost.exe","3416","Services","0","7,928 K"
"vpnagent.exe","3424","Services","0","13,724 K"
"svchost.exe","3432","Services","0","11,032 K"
"svchost.exe","3440","Services","0","5,924 K"
"svchost.exe","3584","Services","0","6,808 K"
"svchost.exe","3660","Services","0","14,108 K"
"RAVBg64.exe","3756","Console","1","10,584 K"
"RAVBg64.exe","3776","Console","1","9,900 K"
"svchost.exe","4016","Services","0","11,612 K"
"spoolsv.exe","4052","Services","0","17,724 K"
"svchost.exe","2756","Services","0","21,752 K"
"wlanext.exe","3964","Services","0","13,452 K"
"conhost.exe","3948","Services","0","4,172 K"
"svchost.exe","4248","Services","0","8,060 K"
"AstSrv.exe","4404","Services","0","6,344 K"
"armsvc.exe","4412","Services","0","5,236 K"
"AdobeUpdateService.exe","4432","Services","0","9,992 K"
"AGMService.exe","4440","Services","0","9,640 K"
"EvtEng.exe","4448","Services","0","11,460 K"
"esif_uf.exe","4456","Services","0","4,760 K"
"AGSService.exe","4464","Services","0","12,096 K"
"IntelCpHDCPSvc.exe","4480","Services","0","5,332 K"
"svchost.exe","4488","Services","0","39,772 K"
"GfExperienceService.exe","4496","Services","0","10,912 K"
"svchost.exe","4504","Services","0","13,496 K"
"svchost.exe","4516","Services","0","24,956 K"
"OfficeClickToRun.exe","4524","Services","0","52,412 K"
"ibtsiva.exe","4548","Services","0","3,352 K"
"IpOverUsbSvc.exe","4656","Services","0","10,872 K"
"JetBrains.ETW.Collector.Host.exe","4704","Services","0","3,096 K"
"svchost.exe","4740","Services","0","21,424 K"
"mongod.exe","4776","Services","0","24,140 K"
"NvNetworkService.exe","4816","Services","0","8,092 K"
"RegSrvc.exe","4884","Services","0","7,344 K"
"svchost.exe","4940","Services","0","6,524 K"
"SmartByteNetworkService.exe","4980","Services","0","38,448 K"
"sqlwriter.exe","4992","Services","0","6,268 K"
"svchost.exe","5004","Services","0","6,292 K"
"WavesSysSvc64.exe","5028","Services","0","4,668 K"
"ZeroConfigService.exe","5036","Services","0","14,628 K"
"MsMpEng.exe","5060","Services","0","289,908 K"
"svchost.exe","5068","Services","0","19,584 K"
"svchost.exe","5084","Services","0","4,580 K"
"svchost.exe","5188","Services","0","6,704 K"
"svchost.exe","5236","Services","0","5,316 K"
"svchost.exe","5312","Services","0","10,128 K"
"IntelCpHeciSvc.exe","5496","Services","0","5,224 K"
"svchost.exe","5532","Services","0","4,520 K"
"RNDBWMService.exe","5808","Services","0","12,564 K"
"svchost.exe","5816","Services","0","10,960 K"
"RNDBWM.exe","6240","Services","0","11,532 K"
"conhost.exe","6252","Services","0","5,852 K"
"unsecapp.exe","6384","Services","0","6,484 K"
"WmiPrvSE.exe","6428","Services","0","36,216 K"
"WmiPrvSE.exe","6612","Services","0","36,848 K"
"svchost.exe","6900","Services","0","6,620 K"
"svchost.exe","7504","Services","0","10,364 K"
"NisSrv.exe","7580","Services","0","10,796 K"
"sihost.exe","7964","Console","1","28,208 K"
"svchost.exe","7972","Console","1","27,480 K"
"PresentationFontCache.exe","8024","Services","0","15,100 K"
"svchost.exe","8036","Console","1","31,924 K"
"DropboxUpdate.exe","7256","Services","0","132 K"
"esif_assist_64.exe","1308","Console","1","2,948 K"
"taskhostw.exe","7272","Console","1","17,800 K"
"svchost.exe","7920","Services","0","14,656 K"
"svchost.exe","6380","Services","0","6,948 K"
"ctfmon.exe","7684","Console","1","14,808 K"
"explorer.exe","8248","Console","1","124,924 K"
"svchost.exe","8268","Services","0","18,272 K"
"svchost.exe","8548","Console","1","14,384 K"
"igfxEM.exe","9100","Console","1","21,704 K"
"svchost.exe","9108","Services","0","7,616 K"
"ShellExperienceHost.exe","7472","Console","1","60,856 K"
"TGitCache.exe","2140","Console","1","7,808 K"
"SearchUI.exe","1352","Console","1","79,220 K"
"RuntimeBroker.exe","2584","Console","1","22,032 K"
"svchost.exe","3048","Services","0","18,912 K"
"RuntimeBroker.exe","6500","Console","1","25,192 K"
"RAVBg64.exe","8288","Console","1","1,444 K"
"YourPhone.exe","9404","Console","1","24,656 K"
"Video.UI.exe","10224","Console","1","32,188 K"
"RuntimeBroker.exe","2768","Console","1","7,272 K"
"RtkNGUI64.exe","9860","Console","1","11,920 K"
"RAVBg64.exe","180","Console","1","12,476 K"
"NvBackend.exe","740","Console","1","16,796 K"
"WavesSvc64.exe","1568","Console","1","5,532 K"
"googledrivesync.exe","1688","Console","1","3,192 K"
"RocketDock.exe","2144","Console","1","13,504 K"
"Peek Through.exe","2552","Console","1","25,800 K"
"AdobeCollabSync.exe","2732","Console","1","8,728 K"
"AdobeCollabSync.exe","3768","Console","1","14,920 K"
"Discord.exe","7520","Console","1","55,876 K"
"chrome.exe","1176","Console","1","208,552 K"
"chrome.exe","2252","Console","1","7,848 K"
"chrome.exe","7988","Console","1","7,412 K"
"chrome.exe","8500","Console","1","52,020 K"
"chrome.exe","9376","Console","1","24,156 K"
"chrome.exe","9880","Console","1","34,408 K"
"chrome.exe","984","Console","1","24,580 K"
"chrome.exe","1528","Console","1","43,028 K"
"chrome.exe","2776","Console","1","25,072 K"
"chrome.exe","5356","Console","1","22,392 K"
"chrome.exe","9196","Console","1","25,928 K"
"IAStorIcon.exe","11260","Console","1","27,224 K"
"svchost.exe","9692","Console","1","20,408 K"
"svchost.exe","3292","Services","0","8,424 K"
"googledrivesync.exe","3596","Console","1","132,168 K"
"Discord.exe","10904","Console","1","44,320 K"
"Discord.exe","12148","Console","1","9,168 K"
"Discord.exe","12184","Console","1","115,308 K"
"chrome.exe","6888","Console","1","46,984 K"
"RuntimeBroker.exe","6912","Console","1","8,304 K"
"DDVRulesProcessor.exe","6772","Services","0","12,352 K"
"SecurityHealthService.exe","11300","Services","0","10,500 K"
