"Image Name","PID","Session Name","Session#","Mem Usage"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","4,956 K"
"Secure System","64","Services","0","20,268 K"
"Registry","116","Services","0","8,760 K"
"smss.exe","536","Services","0","1,024 K"
"csrss.exe","664","Services","0","4,560 K"
"csrss.exe","768","Console","1","5,128 K"
"wininit.exe","796","Services","0","5,600 K"
"services.exe","844","Services","0","7,888 K"
"LsaIso.exe","888","Services","0","2,592 K"
"lsass.exe","900","Services","0","16,520 K"
"winlogon.exe","388","Console","1","10,240 K"
"svchost.exe","628","Services","0","3,576 K"
"svchost.exe","564","Services","0","24,516 K"
"fontdrvhost.exe","764","Services","0","2,864 K"
"fontdrvhost.exe","952","Console","1","39,168 K"
"svchost.exe","1076","Services","0","13,664 K"
"svchost.exe","1132","Services","0","8,768 K"
"dwm.exe","1204","Console","1","119,584 K"
"svchost.exe","1244","Services","0","10,796 K"
"svchost.exe","1264","Services","0","8,796 K"
"svchost.exe","1276","Services","0","5,008 K"
"atiesrxx.exe","1496","Services","0","4,836 K"
"svchost.exe","1592","Services","0","9,720 K"
"svchost.exe","1600","Services","0","96,140 K"
"svchost.exe","1608","Services","0","5,552 K"
"Memory Compression","1680","Services","0","675,608 K"
"svchost.exe","1776","Services","0","12,904 K"
"atieclxx.exe","1800","Console","1","8,248 K"
"svchost.exe","1828","Services","0","9,048 K"
"svchost.exe","1864","Services","0","7,252 K"
"svchost.exe","1944","Services","0","6,428 K"
"svchost.exe","2004","Services","0","20,520 K"
"svchost.exe","2016","Services","0","5,948 K"
"svchost.exe","2012","Services","0","11,200 K"
"svchost.exe","2032","Services","0","7,580 K"
"svchost.exe","2028","Services","0","12,364 K"
"svchost.exe","2044","Services","0","6,104 K"
"svchost.exe","2104","Services","0","7,184 K"
"svchost.exe","2128","Services","0","7,828 K"
"svchost.exe","2176","Services","0","7,104 K"
"svchost.exe","2184","Services","0","7,812 K"
"svchost.exe","2268","Services","0","8,024 K"
"svchost.exe","2424","Services","0","7,208 K"
"svchost.exe","2496","Services","0","10,544 K"
"svchost.exe","2576","Services","0","8,680 K"
"svchost.exe","2664","Services","0","10,904 K"
"svchost.exe","2840","Services","0","12,072 K"
"svchost.exe","2900","Services","0","12,828 K"
"svchost.exe","2940","Services","0","10,240 K"
"vpnagent.exe","2948","Services","0","15,108 K"
"svchost.exe","2956","Services","0","5,860 K"
"svchost.exe","2964","Services","0","7,784 K"
"svchost.exe","2328","Services","0","7,136 K"
"svchost.exe","2600","Services","0","9,804 K"
"svchost.exe","3096","Services","0","14,836 K"
"svchost.exe","3112","Services","0","26,492 K"
"svchost.exe","3224","Services","0","8,692 K"
"svchost.exe","3380","Services","0","16,812 K"
"svchost.exe","3472","Services","0","10,492 K"
"spoolsv.exe","3520","Services","0","17,072 K"
"svchost.exe","3648","Services","0","8,592 K"
"svchost.exe","3976","Services","0","10,560 K"
"svchost.exe","4052","Services","0","20,000 K"
"mDNSResponder.exe","4060","Services","0","5,604 K"
"svchost.exe","4068","Services","0","5,728 K"
"armsvc.exe","4080","Services","0","5,736 K"
"AdobeUpdateService.exe","4088","Services","0","10,224 K"
"svchost.exe","3172","Services","0","11,812 K"
"MacroService.exe","2696","Services","0","10,864 K"
"AGMService.exe","2248","Services","0","8,800 K"
"AGSService.exe","2784","Services","0","9,752 K"
"svchost.exe","3680","Services","0","23,932 K"
"HD-LogRotatorService.exe","3948","Services","0","10,888 K"
"JetBrains.ETW.Collector.Host.exe","3944","Services","0","3,584 K"
"OfficeClickToRun.exe","4100","Services","0","32,468 K"
"mongod.exe","4236","Services","0","24,240 K"
"svchost.exe","4316","Services","0","6,516 K"
"svchost.exe","4336","Services","0","17,060 K"
"ss_conn_service.exe","4348","Services","0","5,708 K"
"SecurityHealthService.exe","4360","Services","0","10,652 K"
"svchost.exe","4368","Services","0","5,152 K"
"svchost.exe","4380","Services","0","18,792 K"
"WsAppService.exe","4388","Services","0","23,296 K"
"DriverInstall.exe","4396","Services","0","15,368 K"
"svchost.exe","4512","Services","0","6,076 K"
"vmms.exe","4540","Services","0","18,088 K"
"svchost.exe","4624","Services","0","5,104 K"
"dasHost.exe","4776","Services","0","13,184 K"
"svchost.exe","4872","Services","0","8,788 K"
"svchost.exe","5232","Services","0","11,352 K"
"svchost.exe","6128","Services","0","6,224 K"
"MobaSSH.exe","6292","Services","0","15,304 K"
"SearchIndexer.exe","6540","Services","0","50,656 K"
"sihost.exe","7028","Console","1","23,752 K"
"svchost.exe","7108","Console","1","16,668 K"
"svchost.exe","4488","Console","1","35,888 K"
"taskhostw.exe","6332","Console","1","15,096 K"
"svchost.exe","1452","Services","0","6,832 K"
"ctfmon.exe","3028","Console","1","14,380 K"
"svchost.exe","4188","Services","0","13,712 K"
"explorer.exe","6388","Console","1","120,436 K"
"conhost.exe","6868","Services","0","4,676 K"
"svchost.exe","7292","Services","0","13,608 K"
"MacroServiceWnd.exe","8028","Console","1","6,424 K"
"sshd.exe","1520","Services","0","5,392 K"
"svchost.exe","7944","Console","1","23,376 K"
"ShellExperienceHost.exe","7664","Console","1","63,592 K"
"SearchUI.exe","912","Console","1","87,752 K"
"RuntimeBroker.exe","7416","Console","1","27,260 K"
"svchost.exe","5408","Services","0","17,960 K"
"SkypeApp.exe","3532","Console","1","31,780 K"
"RuntimeBroker.exe","3488","Console","1","28,508 K"
"Video.UI.exe","852","Console","1","34,584 K"
"RuntimeBroker.exe","6864","Console","1","24,436 K"
"AcrobatNotificationClient.exe","7336","Console","1","16,832 K"
"SkypeBackgroundHost.exe","2916","Console","1","10,448 K"
"GoogleCrashHandler.exe","3388","Services","0","1,124 K"
"GoogleCrashHandler64.exe","1148","Services","0","148 K"
"cnext.exe","2676","Console","1","26,496 K"
"RocketDock.exe","7228","Console","1","14,064 K"
"Peek Through.exe","2792","Console","1","27,672 K"
"googledrivesync.exe","8120","Console","1","2,888 K"
"chrome.exe","1456","Console","1","163,540 K"
"chrome.exe","6360","Console","1","7,152 K"
"chrome.exe","8136","Console","1","7,464 K"
"chrome.exe","3604","Console","1","67,428 K"
"chrome.exe","2836","Console","1","39,596 K"
"chrome.exe","8396","Console","1","24,312 K"
"chrome.exe","8416","Console","1","26,608 K"
